Date,Symbol,Finra Symbol,Open,High,Low,Close,Volume,Short Interest (%),PE Ratio
2020-04-27,AAPL,0P000000GY,69.58360361973796,70.2601846210609,69.12679746837416,69.9218978881836,117087600,0.8015,0
2020-04-28,AAPL,0P000000GY,70.39350576124362,70.57869985345518,68.69466495189916,68.78849029541016,112004800,0.8015,0
2020-04-29,AAPL,0P000000GY,70.30709797546851,71.52691050750146,70.09968146667644,71.0478744506836,137280800,0.8015,0
2020-04-30,AAPL,0P000000GY,71.59850663055428,72.72695782846877,71.20096024392873,72.54669952392578,183064000,0.6954,0
2020-05-01,AAPL,0P000000GY,70.68242196729267,73.8307219850498,70.58365327777074,71.37875366210938,240616800,0.6954,0
2020-05-04,AAPL,0P000000GY,71.4034416585564,72.51954207301273,70.69970256013926,72.388671875,133568000,0.6954,0
2020-05-05,AAPL,0P000000GY,72.85782218238931,74.32455994833467,72.70966540627597,73.47513580322266,147751200,0.6954,0
2020-05-06,AAPL,0P000000GY,74.19122705570108,74.87767958354196,73.79861644970693,74.23320770263672,142333600,0.6954,0
2020-05-07,AAPL,0P000000GY,74.87273063710597,75.35423824916434,74.56407384362399,75.00112915039062,115215200,0.6954,0
2020-05-08,AAPL,0P000000GY,75.67459890019627,76.84076398691232,75.34034564309617,76.78629302978516,133838400,0.6954,0
2020-05-11,AAPL,0P000000GY,76.28368541173512,78.49964637932318,76.07075071939181,77.99456024169922,145946400,0.6954,0
2020-05-12,AAPL,0P000000GY,78.69275891452516,79.1532874566745,76.97941351022754,77.10321044921875,162301200,0.6954,0
2020-05-13,AAPL,0P000000GY,77.28644442339191,78.2273058993122,75.07295406509364,76.17227172851562,200622400,0.6954,0
2020-05-14,AAPL,0P000000GY,75.39481607770438,76.70211148373058,74.65698358281635,76.64021301269531,158929200,0.6954,0
2020-05-15,AAPL,0P000000GY,74.36484590684762,76.23417724499714,74.33017912627773,76.1871337890625,166348400,0.7755,0
2020-05-18,AAPL,0P000000GY,77.53897489258159,78.36345914761426,76.83333085825836,77.98216247558594,135178400,0.7755,0
2020-05-19,AAPL,0P000000GY,77.9995037038146,78.8636039713041,77.49936676078033,77.53155517578125,101729600,0.7755,0
2020-05-20,AAPL,0P000000GY,78.40803682495815,79.11120261564342,78.36842089303647,79.0394058227539,111504800,0.7755,0
2020-05-21,AAPL,0P000000GY,78.8982709906,79.45040809312101,78.20748191222935,78.45012664794922,102688800,0.7755,0
2020-05-22,AAPL,0P000000GY,78.18272376177626,79.03940410351116,78.07873855421434,78.9552230834961,81803200,0.7755,0
2020-05-26,AAPL,0P000000GY,80.09662574965489,80.27984281568621,78.36346846913685,78.42041778564453,125522000,0.7755,0
2020-05-27,AAPL,0P000000GY,78.27433227465005,78.91064279903853,77.5191664126221,78.7620849609375,112945200,0.7755,0
2020-05-28,AAPL,0P000000GY,78.43031885817234,80.08177353528482,78.1480657345259,78.79676055908203,133560800,0.7755,0
2020-05-29,AAPL,0P000000GY,79.04435626978137,79.51478319057736,78.35604549784621,78.72000885009766,153532400,0.7893,0
2020-06-01,AAPL,0P000000GY,78.67295863149644,79.81189203790561,78.53925581508324,79.68809509277344,80791200,0.7893,0
2020-06-02,AAPL,0P000000GY,79.41574714104162,80.08177536768389,78.96512440852409,80.05701446533203,87642800,0.7893,0
2020-06-03,AAPL,0P000000GY,80.38383536368288,80.76513208005483,79.79950983870039,80.49772644042969,104491200,0.7893,0
2020-06-04,AAPL,0P000000GY,80.3169874249103,80.62152308069656,79.4231695326434,79.8044662475586,87560400,0.7893,0
2020-06-05,AAPL,0P000000GY,80.05948855857567,82.13927579393574,80.02977849972234,82.07737731933594,137250400,0.7893,0
2020-06-08,AAPL,0P000000GY,81.76788590973015,82.59732699033323,81.04243759230509,82.56266021728516,95654400,0.7893,0
2020-06-09,AAPL,0P000000GY,82.23584104159835,85.5709235993253,82.2036526258517,85.1698226928711,147712400,0.7893,0
2020-06-10,AAPL,0P000000GY,86.1379161108055,87.83888499113846,85.68977175726091,87.36103057861328,166651600,0.7893,0
2020-06-11,AAPL,0P000000GY,86.48702116762101,86.92031047540256,83.06280099132097,83.16678619384766,201662400,0.7893,0
2020-06-12,AAPL,0P000000GY,85.35057063327872,86.11315653068769,82.75083464907148,83.88481140136719,200146000,0.7893,0
2020-06-15,AAPL,0P000000GY,82.51067129309153,85.5882618102616,82.34478004718682,84.92223358154297,138808800,0.804,0
2020-06-16,AAPL,0P000000GY,87.01934456300752,87.45016306025416,85.35056419876697,87.1728515625,165428800,0.804,0
2020-06-17,AAPL,0P000000GY,87.93297022100899,87.99486869470475,86.92773961266707,87.0515365600586,114406400,0.804,0
2020-06-18,AAPL,0P000000GY,87.00698029041071,87.51207400262885,86.4647490014045,87.08621215820312,96820400,0.804,0
2020-06-19,AAPL,0P000000GY,87.80671217448237,88.28208827364912,85.45704071531928,86.58854675292969,264476000,0.804,0
2020-06-22,AAPL,0P000000GY,86.98963745313283,89.00009865518177,86.94259400898922,88.85401916503906,135445200,0.804,0
2020-06-23,AAPL,0P000000GY,90.12418280573053,92.1990209704874,89.69584262334656,90.75059509277344,212155600,0.804,0
2020-06-24,AAPL,0P000000GY,90.37177321911716,91.31015621287112,88.76736203195598,89.1486587524414,192623200,0.804,0
2020-06-25,AAPL,0P000000GY,89.30711855162969,90.37176924916504,88.53214847212752,90.3321533203125,137522400,0.804,0
2020-06-26,AAPL,0P000000GY,90.22570282567388,90.451014203415,87.40560440213314,87.556640625,205256800,0.804,0
2020-06-29,AAPL,0P000000GY,87.46255563776786,89.67109681459124,86.97479529418055,89.57453155517578,130646000,0.804,0
2020-06-30,AAPL,0P000000GY,89.15359934251794,90.6144092523651,89.13379515710781,90.3222427368164,140223200,0.7932,0
2020-07-01,AAPL,0P000000GY,90.40148522538588,90.95609315369958,90.10189871653422,90.1514129638672,110737200,0.7932,0
2020-07-02,AAPL,0P000000GY,91.07741930499296,91.72611412599554,90.03505108244987,90.1514129638672,114041600,0.7932,0
2020-07-06,AAPL,0P000000GY,91.60972752786724,93.04081972592884,91.577539117349,92.5629653930664,118655600,0.7932,0
2020-07-07,AAPL,0P000000GY,92.94923549660427,93.74400987339124,92.16188863526516,92.2757797241211,112424400,0.7932,0
2020-07-08,AAPL,0P000000GY,93.27357843610596,94.45707702821824,93.18444069906064,94.42488861083984,117092000,0.7932,0
2020-07-09,AAPL,0P000000GY,95.33603402267428,95.3905049862554,93.76134034891084,94.83094787597656,125642800,0.7932,0
2020-07-10,AAPL,0P000000GY,94.41746493281248,95.05626148037037,93.79353097200492,94.99683380126952,90257200,0.7932,0
2020-07-13,AAPL,0P000000GY,96.32888097316103,98.9929937230894,94.34070228226642,94.55858612060548,191649200,0.7932,0
2020-07-14,AAPL,0P000000GY,93.92722578226083,96.3189839540869,92.97399523586722,96.1233901977539,170989200,0.7932,0
2020-07-15,AAPL,0P000000GY,98.03727887971624,98.29230029539164,95.56133987084192,96.78445434570312,153198000,0.8229,0
2020-07-16,AAPL,0P000000GY,95.63315231116374,96.4675426188139,94.98197908776667,95.59353637695312,110577600,0.8229,0
2020-07-17,AAPL,0P000000GY,96.05406509434586,96.21252127537598,94.91760234273572,95.4004135131836,92186800,0.8229,0
2020-07-20,AAPL,0P000000GY,95.48953478830045,97.55198847897992,95.13794815494424,97.41085815429688,90318000,0.8229,0
2020-07-21,AAPL,0P000000GY,98.21802064268874,98.2947741439662,95.81140773420488,96.0664291381836,103433200,0.8229,0
2020-07-22,AAPL,0P000000GY,95.76187650098096,97.03203423811593,95.67274633639296,96.33629608154295,89001600,0.8229,0
2020-07-23,AAPL,0P000000GY,96.06396266124833,96.14319452912848,91.1244684878277,91.95143127441406,197004400,0.8229,0
