Date,Symbol,Finra Symbol,Open,High,Low,Close,Volume,Short Interest (%),PE Ratio
2020-05-11,AMC,0P00011H0G,6.400000095367432,6.409999847412109,4.889999866485596,5.320000171661377,106553300,54.2802,0
2020-05-12,AMC,0P00011H0G,5.769999980926514,5.840000152587891,4.909999847412109,5.119999885559082,19681900,54.2802,0
2020-05-13,AMC,0P00011H0G,5.019999980926514,5.03000020980835,4.510000228881836,4.599999904632568,10433400,54.2802,0
2020-05-14,AMC,0P00011H0G,4.25,4.650000095367432,4.079999923706055,4.550000190734863,5920500,54.2802,0
2020-05-15,AMC,0P00011H0G,4.46999979019165,4.619999885559082,4.440000057220459,4.519999980926514,3483200,56.1617,0
2020-05-18,AMC,0P00011H0G,4.800000190734863,4.929999828338623,4.630000114440918,4.71999979019165,6036900,56.1617,0
2020-05-19,AMC,0P00011H0G,4.820000171661377,4.980000019073486,4.5,4.559999942779541,4929800,56.1617,0
2020-05-20,AMC,0P00011H0G,4.690000057220459,4.75,4.590000152587891,4.659999847412109,3489500,56.1617,0
2020-05-21,AMC,0P00011H0G,4.679999828338623,4.789999961853027,4.550000190734863,4.630000114440918,4555000,56.1617,0
2020-05-22,AMC,0P00011H0G,4.659999847412109,4.679999828338623,4.559999942779541,4.579999923706055,2408800,56.1617,0
2020-05-26,AMC,0P00011H0G,4.800000190734863,5.139999866485596,4.699999809265137,5.110000133514404,8864100,56.1617,0
2020-05-27,AMC,0P00011H0G,5.480000019073486,5.650000095367432,5.110000133514404,5.599999904632568,7862400,56.1617,0
2020-05-28,AMC,0P00011H0G,5.650000095367432,5.679999828338623,5.019999980926514,5.070000171661377,6590200,56.1617,0
2020-05-29,AMC,0P00011H0G,5.0,5.380000114440918,4.829999923706055,5.130000114440918,5153000,50.3578,0
2020-06-01,AMC,0P00011H0G,5.03000020980835,5.369999885559082,5.019999980926514,5.309999942779541,3913100,50.3578,0
2020-06-02,AMC,0P00011H0G,5.349999904632568,5.650000095367432,5.329999923706055,5.590000152587891,6877800,50.3578,0
2020-06-03,AMC,0P00011H0G,5.269999980926514,5.989999771118164,5.090000152587891,5.449999809265137,15353700,50.3578,0
